State,Total,Year
Louisiana,1278439,1976
Maine,483208,1976
Maryland,1432273,1976
Massachusetts,2547558,1976
Michigan,3653749,1976
Minnesota,1949931,1976
Mississippi,769360,1976
Missouri,1953600,1976
Montana,328734,1976
Nebraska,607668,1976
Nevada,201876,1976
New Hampshire,339618,1976
New Jersey,3014472,1976
New Mexico,416590,1976
New York,6534420,1976
North Carolina,1677906,1976
North Dakota,297094,1976
Ohio,4111873,1976
Oklahoma,1092251,1976
Oregon,1029876,1976
Pennsylvania,4620787,1976
Rhode Island,411170,1976
South Carolina,802594,1976
South Dakota,300678,1976
Tennessee,1476346,1976
Texas,4071884,1976
Utah,541198,1976
Vermont,187855,1976
Virginia,1697094,1976
Washington,1555534,1976
West Virginia,750674,1976
Wisconsin,2101336,1976
Wyoming,156343,1976
DC,168830,1976
Nationwi,77744030,1972
Alabama,1006093,1972
Alaska,95219,1972
Arizona,653505,1972
Arkansas,647666,1972
California,8367862,1972
Colorado,953884,1972
Connecticut,1384277,1972
Delaware,235516,1972
Florida,2583283,1972
Georgia,1174772,1972
Hawaii,270274,1972
Idaho,310379,1972
Illinois,4723236,1972
Indiana,2125529,1972
Iowa,1225944,1972
Kansas,916095,1972
Kentucky,1067499,1972
Louisiana,1051491,1972
Maine,417271,1972
Maryland,1353812,1972
Massachusetts,2458756,1972
Michigan,3490325,1972
Minnesota,1741652,1972
Mississippi,645963,1972
Missouri,1852589,1972
Montana,317603,1972
Nebraska,576289,1972
Nevada,181766,1972
New Hampshire,334059,1972
New Jersey,2997229,1972
New Mexico,385931,1972
New York,7161830,1972
North Carolina,1518612,1972
North Dakota,280514,1972
Ohio,4094787,1972
Oklahoma,1029900,1972
Oregon,927946,1972
Pennsylvania,4592105,1972
Rhode Island,415808,1972
South Carolina,677880,1972
South Dakota,307415,1972
Tennessee,1201182,1972
Texas,3472714,1972
Utah,478476,1972
Vermont,186946,1972
Virginia,1457019,1972
Washington,1470847,1972
West Virginia,762399,1972
Wisconsin,1852890,1972
Wyoming,145570,1972
DC,163421,1972
Nationwi,73199999,1968
Alabama,1049917,1968
Alaska,83035,1968
Arizona,486936,1968
Arkansas,609590,1968
California,7251587,1968
Colorado,811199,1968
Connecticut,1256232,1968
Delaware,214367,1968
Florida,2187805,1968
Georgia,1250266,1968
Hawaii,236218,1968
Idaho,291183,1968
Illinois,4619749,1968
Indiana,2123597,1968
Iowa,1167931,1968
Kansas,872783,1968
Kentucky,1055893,1968
Louisiana,1097450,1968
Maine,392936,1968
Maryland,1235039,1968
Massachusetts,2331752,1968
Michigan,3306250,1968
Minnesota,1588510,1968
Mississippi,654509,1968
Missouri,1809502,1968
Montana,274404,1968
Nebraska,536851,1968
Nevada,154218,1968
New Hampshire,297299,1968
New Jersey,2875395,1968
New Mexico,327281,1968
New York,6790066,1968
North Carolina,1587493,1968
North Dakota,247882,1968
Ohio,3959698,1968
Oklahoma,943086,1968
Oregon,819622,1968
Pennsylvania,4747928,1968
Rhode Island,385000,1968
South Carolina,666982,1968
South Dakota,281264,1968
Tennessee,1248617,1968
Texas,3079406,1968
Utah,422568,1968
