1952,TOT,Total,61751942,426120,,260570,404800,5341603,630103,1096911,174025,989337,655803,,276231,4481058,1955325,1268773,896166,993148,651952,351786,902074,2383398,2798592,1379483,285532,1892062,265037,609660,82190,272950,2419554,238608,7128241,1210910,270127,3700758,948984,695059,4580969,414498,341086,294283,892553,2075946,329554,153557,619689,1102708,873548,1607370,129251,
1952,DEM,AdlaiStevenson,27375090,275075,,108528,226300,2257646,245504,481649,83315,444950,456823,,95081,2013920,801530,451513,273296,495729,345027,118806,395337,1083525,1230657,608458,172566,929830,106213,188057,31688,106663,1015902,105661,3104601,652803,76694,1600367,430939,270579,2146269,203293,173004,90426,443710,969228,135364,43355,268677,492845,453578,622175,47934,
1952,REP,DwightD.Eisenhower,34075529,149231,,152042,177155,3035587,379782,611012,90059,544036,198979,,180707,2457327,1136259,808906,616302,495029,306925,232353,499424,1292325,1551529,763211,112966,959429,157394,421603,50502,166287,1374613,132170,3952815,558107,191712,2100391,518045,420815,2415789,210935,168082,203857,446147,1102878,194190,109717,349037,599107,419970,979744,81047,
1948,TOT,Total,48794710,214980,,177065,242475,4021538,515237,883518,139073,577643,418764,,214816,3984046,1656214,1038272,788819,822658,416336,264789,596735,2107146,2109609,1212226,192190,1578628,224278,488940,62117,231440,1949555,187063,6178502,791209,220716,2936071,721599,524080,3735148,327702,142571,250105,550283,1249577,276305,123382,419256,905059,748750,1276800,101425,
1948,DEM,HarryS.Truman,24179347,0,,95251,149659,1913134,267288,423297,67813,281988,254646,,107370,1994715,807833,522380,351902,466756,136344,111916,286521,1151788,1003448,692966,19384,917315,119071,224165,31291,107995,895455,105464,2780204,459070,95812,1452791,452782,243147,1752426,188736,34423,117653,270402,824235,149151,45557,200786,476165,429188,647310,52354,
1948,REP,ThomasDewey,21991292,40930,,77597,50959,1895269,239714,437754,69588,194280,76691,,101514,1961103,821079,494018,423039,341210,72657,150234,294814,909370,1038595,483617,5043,655039,96770,264774,29357,121299,981124,80303,2841163,258572,115139,1445684,268817,260904,1902197,135787,5386,129651,202914,303467,124402,75926,172070,386315,316251,590959,47947,
1948,DIX,StromThurmond,1175946,171443,,0,40068,1228,0,0,0,89755,85055,,0,0,0,0,0,10411,204290,0,2476,0,0,0,167538,42,0,0,0,7,0,0,16,69652,374,0,0,0,0,0,102607,0,73815,113776,0,0,43393,0,0,0,0,
1948,PRO,HenryWallace,1157328,1522,,3310,751,190381,6115,13713,1050,11620,1636,,4972,0,9649,12125,4603,1567,3035,1884,9983,38157,46515,27866,225,3998,7313,0,1469,1970,42683,1037,509559,3915,8391,37596,0,14978,55161,2619,154,2801,1864,3920,2679,1279,2047,31692,3311,25282,931,
1944,TOT,Total,47977092,244743,,137634,212954,3520875,505039,831990,125361,482592,328109,,208321,4036061,1672091,1052599,733776,867921,349383,296400,608439,1960665,2205223,1125529,180080,1572474,207355,563126,54234,229627,1963761,152225,6316817,790554,220171,3153056,722636,480147,3794793,299276,103375,232076,510692,1150331,248319,125361,388485,856328,715596,1339152,101340,
1944,DEM,FDR,25612916,198918,,80926,148965,1988564,234331,435146,68166,339377,268187,,107399,2079479,781403,499876,287458,472589,281564,140631,315490,1035296,1106899,589864,168479,807804,112556,233246,29623,119663,987874,81389,3304238,527399,100144,1570763,401549,248635,1940479,175356,90601,96711,308707,821605,150088,53820,242276,486774,392777,650413,49419,
